METER_D1_004826,00-00-00-00-00-00-48-26
METER_D1_024439,00-00-00-00-00-02-44-39
METER_D1_012451,00-00-00-00-00-01-24-51
METER_D1_012450,00-00-00-00-00-01-24-50
METER_D1_012453,00-00-00-00-00-01-24-53
METER_D1_012452,00-00-00-00-00-01-24-52
METER_D1_012455,00-00-00-00-00-01-24-55
METER_D1_012454,00-00-00-00-00-01-24-54
METER_D1_012446,00-00-00-00-00-01-24-46
METER_D1_012445,00-00-00-00-00-01-24-45
METER_D1_012448,00-00-00-00-00-01-24-48
METER_D1_012447,00-00-00-00-00-01-24-47
METER_D1_012449,00-00-00-00-00-01-24-49
METER_D1_000471,00-00-00-00-00-00-04-71
METER_D1_000472,00-00-00-00-00-00-04-72
METER_D1_024440,00-00-00-00-00-02-44-40
METER_D1_000470,00-00-00-00-00-00-04-70
METER_D1_024441,00-00-00-00-00-02-44-41
METER_D1_000475,00-00-00-00-00-00-04-75
METER_D1_024442,00-00-00-00-00-02-44-42
METER_D1_000476,00-00-00-00-00-00-04-76
METER_D1_024443,00-00-00-00-00-02-44-43
METER_D1_000473,00-00-00-00-00-00-04-73
METER_D1_024444,00-00-00-00-00-02-44-44
METER_D1_000474,00-00-00-00-00-00-04-74
METER_D1_024445,00-00-00-00-00-02-44-45
METER_D1_000479,00-00-00-00-00-00-04-79
METER_D1_024424,00-00-00-00-00-02-44-24
METER_D1_024425,00-00-00-00-00-02-44-25
METER_D1_000477,00-00-00-00-00-00-04-77
METER_D1_024426,00-00-00-00-00-02-44-26
METER_D1_000478,00-00-00-00-00-00-04-78
METER_D1_024427,00-00-00-00-00-02-44-27
METER_D1_024428,00-00-00-00-00-02-44-28
METER_D1_024429,00-00-00-00-00-02-44-29
METER_D1_012460,00-00-00-00-00-01-24-60
METER_D1_012462,00-00-00-00-00-01-24-62
METER_D1_012461,00-00-00-00-00-01-24-61
METER_D1_012464,00-00-00-00-00-01-24-64
METER_D1_012463,00-00-00-00-00-01-24-63
METER_D1_012466,00-00-00-00-00-01-24-66
METER_D1_012465,00-00-00-00-00-01-24-65
METER_D1_012457,00-00-00-00-00-01-24-57
METER_D1_012456,00-00-00-00-00-01-24-56
METER_D1_012459,00-00-00-00-00-01-24-59
METER_D1_012458,00-00-00-00-00-01-24-58
METER_D1_000482,00-00-00-00-00-00-04-82
METER_D1_000483,00-00-00-00-00-00-04-83
METER_D1_000480,00-00-00-00-00-00-04-80
METER_D1_000481,00-00-00-00-00-00-04-81
METER_D1_024430,00-00-00-00-00-02-44-30
METER_D1_000486,00-00-00-00-00-00-04-86
METER_D1_024431,00-00-00-00-00-02-44-31
METER_D1_000487,00-00-00-00-00-00-04-87
METER_D1_024432,00-00-00-00-00-02-44-32
METER_D1_000484,00-00-00-00-00-00-04-84
METER_D1_024433,00-00-00-00-00-02-44-33
METER_D1_000485,00-00-00-00-00-00-04-85
METER_D1_024434,00-00-00-00-00-02-44-34
METER_D1_024457,00-00-00-00-00-02-44-57
METER_D1_024458,00-00-00-00-00-02-44-58
METER_D1_000488,00-00-00-00-00-00-04-88
METER_D1_024459,00-00-00-00-00-02-44-59
METER_D1_000489,00-00-00-00-00-00-04-89
METER_D1_012471,00-00-00-00-00-01-24-71
METER_D1_012470,00-00-00-00-00-01-24-70
METER_D1_012473,00-00-00-00-00-01-24-73
METER_D1_012472,00-00-00-00-00-01-24-72
METER_D1_012475,00-00-00-00-00-01-24-75
METER_D1_012474,00-00-00-00-00-01-24-74
METER_D1_012477,00-00-00-00-00-01-24-77
METER_D1_012476,00-00-00-00-00-01-24-76
METER_D1_012468,00-00-00-00-00-01-24-68
METER_D1_012467,00-00-00-00-00-01-24-67
METER_D1_012469,00-00-00-00-00-01-24-69
METER_D1_000490,00-00-00-00-00-00-04-90
METER_D1_000493,00-00-00-00-00-00-04-93
METER_D1_024460,00-00-00-00-00-02-44-60
METER_D1_000494,00-00-00-00-00-00-04-94
METER_D1_024461,00-00-00-00-00-02-44-61
METER_D1_000491,00-00-00-00-00-00-04-91
METER_D1_024462,00-00-00-00-00-02-44-62
METER_D1_000492,00-00-00-00-00-00-04-92
METER_D1_024463,00-00-00-00-00-02-44-63
METER_D1_000497,00-00-00-00-00-00-04-97
METER_D1_024464,00-00-00-00-00-02-44-64
METER_D1_000498,00-00-00-00-00-00-04-98
METER_D1_024465,00-00-00-00-00-02-44-65
METER_D1_000495,00-00-00-00-00-00-04-95
METER_D1_024466,00-00-00-00-00-02-44-66
METER_D1_000496,00-00-00-00-00-00-04-96
METER_D1_024467,00-00-00-00-00-02-44-67
METER_D1_024446,00-00-00-00-00-02-44-46
METER_D1_024447,00-00-00-00-00-02-44-47
METER_D1_000499,00-00-00-00-00-00-04-99
METER_D1_024448,00-00-00-00-00-02-44-48
METER_D1_024449,00-00-00-00-00-02-44-49
METER_D1_012480,00-00-00-00-00-01-24-80
METER_D1_012482,00-00-00-00-00-01-24-82
METER_D1_012481,00-00-00-00-00-01-24-81
METER_D1_012484,00-00-00-00-00-01-24-84
METER_D1_012483,00-00-00-00-00-01-24-83
METER_D1_012486,00-00-00-00-00-01-24-86
METER_D1_012485,00-00-00-00-00-01-24-85
METER_D1_012488,00-00-00-00-00-01-24-88
METER_D1_012487,00-00-00-00-00-01-24-87
METER_D1_012479,00-00-00-00-00-01-24-79
METER_D1_012478,00-00-00-00-00-01-24-78
METER_D1_024450,00-00-00-00-00-02-44-50
METER_D1_024451,00-00-00-00-00-02-44-51
METER_D1_024452,00-00-00-00-00-02-44-52
METER_D1_024453,00-00-00-00-00-02-44-53
METER_D1_024454,00-00-00-00-00-02-44-54
METER_D1_024455,00-00-00-00-00-02-44-55
METER_D1_024456,00-00-00-00-00-02-44-56
METER_D1_000424,00-00-00-00-00-00-04-24
METER_D1_000425,00-00-00-00-00-00-04-25
METER_D1_000422,00-00-00-00-00-00-04-22
METER_D1_000423,00-00-00-00-00-00-04-23
METER_D1_000428,00-00-00-00-00-00-04-28
METER_D1_000429,00-00-00-00-00-00-04-29
METER_D1_000426,00-00-00-00-00-00-04-26
METER_D1_000427,00-00-00-00-00-00-04-27
METER_D1_012411,00-00-00-00-00-01-24-11
METER_D1_012410,00-00-00-00-00-01-24-10
METER_D1_012402,00-00-00-00-00-01-24-02
METER_D1_012401,00-00-00-00-00-01-24-01
METER_D1_012404,00-00-00-00-00-01-24-04
METER_D1_012403,00-00-00-00-00-01-24-03
METER_D1_012406,00-00-00-00-00-01-24-06
METER_D1_012405,00-00-00-00-00-01-24-05
METER_D1_012408,00-00-00-00-00-01-24-08
METER_D1_012407,00-00-00-00-00-01-24-07
METER_D1_012409,00-00-00-00-00-01-24-09
METER_D1_000431,00-00-00-00-00-00-04-31
METER_D1_000432,00-00-00-00-00-00-04-32
METER_D1_024400,00-00-00-00-00-02-44-00
METER_D1_000430,00-00-00-00-00-00-04-30
METER_D1_024401,00-00-00-00-00-02-44-01
METER_D1_000435,00-00-00-00-00-00-04-35
METER_D1_000436,00-00-00-00-00-00-04-36
METER_D1_000433,00-00-00-00-00-00-04-33
METER_D1_000434,00-00-00-00-00-00-04-34
METER_D1_000439,00-00-00-00-00-00-04-39
METER_D1_000437,00-00-00-00-00-00-04-37
METER_D1_000438,00-00-00-00-00-00-04-38
METER_D1_012420,00-00-00-00-00-01-24-20
METER_D1_012422,00-00-00-00-00-01-24-22
METER_D1_012421,00-00-00-00-00-01-24-21
METER_D1_012413,00-00-00-00-00-01-24-13
METER_D1_012412,00-00-00-00-00-01-24-12
METER_D1_012415,00-00-00-00-00-01-24-15
METER_D1_012414,00-00-00-00-00-01-24-14
METER_D1_012417,00-00-00-00-00-01-24-17
METER_D1_012416,00-00-00-00-00-01-24-16
METER_D1_012419,00-00-00-00-00-01-24-19
METER_D1_012418,00-00-00-00-00-01-24-18
METER_D1_000442,00-00-00-00-00-00-04-42
METER_D1_000443,00-00-00-00-00-00-04-43
METER_D1_000440,00-00-00-00-00-00-04-40
METER_D1_000441,00-00-00-00-00-00-04-41
METER_D1_000446,00-00-00-00-00-00-04-46
METER_D1_024413,00-00-00-00-00-02-44-13
METER_D1_000447,00-00-00-00-00-00-04-47
METER_D1_024414,00-00-00-00-00-02-44-14
METER_D1_000444,00-00-00-00-00-00-04-44
METER_D1_024415,00-00-00-00-00-02-44-15
METER_D1_000445,00-00-00-00-00-00-04-45
METER_D1_024416,00-00-00-00-00-02-44-16
METER_D1_024417,00-00-00-00-00-02-44-17
METER_D1_024418,00-00-00-00-00-02-44-18
METER_D1_000448,00-00-00-00-00-00-04-48
METER_D1_024419,00-00-00-00-00-02-44-19
METER_D1_000449,00-00-00-00-00-00-04-49
METER_D1_012431,00-00-00-00-00-01-24-31
METER_D1_012430,00-00-00-00-00-01-24-30
METER_D1_012433,00-00-00-00-00-01-24-33
METER_D1_012432,00-00-00-00-00-01-24-32
METER_D1_012424,00-00-00-00-00-01-24-24
METER_D1_012423,00-00-00-00-00-01-24-23
METER_D1_012426,00-00-00-00-00-01-24-26
METER_D1_012425,00-00-00-00-00-01-24-25
METER_D1_012428,00-00-00-00-00-01-24-28
METER_D1_012427,00-00-00-00-00-01-24-27
METER_D1_012429,00-00-00-00-00-01-24-29
METER_D1_000450,00-00-00-00-00-00-04-50
METER_D1_000453,00-00-00-00-00-00-04-53
METER_D1_024420,00-00-00-00-00-02-44-20
METER_D1_000454,00-00-00-00-00-00-04-54
METER_D1_024421,00-00-00-00-00-02-44-21
METER_D1_000451,00-00-00-00-00-00-04-51
METER_D1_024422,00-00-00-00-00-02-44-22
METER_D1_000452,00-00-00-00-00-00-04-52
METER_D1_024423,00-00-00-00-00-02-44-23
METER_D1_000457,00-00-00-00-00-00-04-57
METER_D1_024402,00-00-00-00-00-02-44-02
METER_D1_000458,00-00-00-00-00-00-04-58
METER_D1_024403,00-00-00-00-00-02-44-03
METER_D1_000455,00-00-00-00-00-00-04-55
METER_D1_024404,00-00-00-00-00-02-44-04
METER_D1_000456,00-00-00-00-00-00-04-56
METER_D1_024405,00-00-00-00-00-02-44-05
METER_D1_024406,00-00-00-00-00-02-44-06
METER_D1_024407,00-00-00-00-00-02-44-07
METER_D1_000459,00-00-00-00-00-00-04-59
METER_D1_024408,00-00-00-00-00-02-44-08
METER_D1_024409,00-00-00-00-00-02-44-09
METER_D1_012440,00-00-00-00-00-01-24-40
METER_D1_012442,00-00-00-00-00-01-24-42
METER_D1_012441,00-00-00-00-00-01-24-41
METER_D1_012444,00-00-00-00-00-01-24-44
METER_D1_012443,00-00-00-00-00-01-24-43
METER_D1_012435,00-00-00-00-00-01-24-35
METER_D1_012434,00-00-00-00-00-01-24-34
METER_D1_012437,00-00-00-00-00-01-24-37
METER_D1_012436,00-00-00-00-00-01-24-36
METER_D1_012439,00-00-00-00-00-01-24-39
METER_D1_012438,00-00-00-00-00-01-24-38
METER_D1_000460,00-00-00-00-00-00-04-60
METER_D1_000461,00-00-00-00-00-00-04-61
METER_D1_000464,00-00-00-00-00-00-04-64
METER_D1_000465,00-00-00-00-00-00-04-65
METER_D1_024410,00-00-00-00-00-02-44-10
METER_D1_000462,00-00-00-00-00-00-04-62
METER_D1_024411,00-00-00-00-00-02-44-11
METER_D1_000463,00-00-00-00-00-00-04-63
METER_D1_024412,00-00-00-00-00-02-44-12
METER_D1_024479,00-00-00-00-00-02-44-79
METER_D1_012491,00-00-00-00-00-01-24-91
METER_D1_012490,00-00-00-00-00-01-24-90
METER_D1_012493,00-00-00-00-00-01-24-93
METER_D1_012492,00-00-00-00-00-01-24-92
METER_D1_012495,00-00-00-00-00-01-24-95
METER_D1_012494,00-00-00-00-00-01-24-94
METER_D1_012497,00-00-00-00-00-01-24-97
METER_D1_012496,00-00-00-00-00-01-24-96
METER_D1_012499,00-00-00-00-00-01-24-99
METER_D1_012498,00-00-00-00-00-01-24-98
METER_D1_012489,00-00-00-00-00-01-24-89
METER_D1_024480,00-00-00-00-00-02-44-80
METER_D1_024481,00-00-00-00-00-02-44-81
METER_D1_024482,00-00-00-00-00-02-44-82
METER_D1_024483,00-00-00-00-00-02-44-83
METER_D1_024484,00-00-00-00-00-02-44-84
METER_D1_024485,00-00-00-00-00-02-44-85
METER_D1_024486,00-00-00-00-00-02-44-86
METER_D1_024487,00-00-00-00-00-02-44-87
METER_D1_024488,00-00-00-00-00-02-44-88
METER_D1_024489,00-00-00-00-00-02-44-89
METER_D1_024468,00-00-00-00-00-02-44-68
METER_D1_024469,00-00-00-00-00-02-44-69
METER_D1_024470,00-00-00-00-00-02-44-70
METER_D1_024471,00-00-00-00-00-02-44-71
METER_D1_024472,00-00-00-00-00-02-44-72
METER_D1_024473,00-00-00-00-00-02-44-73
METER_D1_024474,00-00-00-00-00-02-44-74
METER_D1_024475,00-00-00-00-00-02-44-75
METER_D1_024476,00-00-00-00-00-02-44-76
METER_D1_024477,00-00-00-00-00-02-44-77
METER_D1_024478,00-00-00-00-00-02-44-78
METER_D1_024490,00-00-00-00-00-02-44-90
METER_D1_024491,00-00-00-00-00-02-44-91
METER_D1_024492,00-00-00-00-00-02-44-92
METER_D1_024493,00-00-00-00-00-02-44-93
METER_D1_024494,00-00-00-00-00-02-44-94
METER_D1_024495,00-00-00-00-00-02-44-95
METER_D1_024496,00-00-00-00-00-02-44-96
METER_D1_024497,00-00-00-00-00-02-44-97
METER_D1_024498,00-00-00-00-00-02-44-98
METER_D1_024499,00-00-00-00-00-02-44-99
METER_D1_000501,00-00-00-00-00-00-05-01
METER_D1_000502,00-00-00-00-00-00-05-02
METER_D1_000500,00-00-00-00-00-00-05-00
METER_D1_000505,00-00-00-00-00-00-05-05
METER_D1_000506,00-00-00-00-00-00-05-06
METER_D1_000503,00-00-00-00-00-00-05-03
METER_D1_000504,00-00-00-00-00-00-05-04
METER_D1_000509,00-00-00-00-00-00-05-09
METER_D1_000507,00-00-00-00-00-00-05-07
METER_D1_000508,00-00-00-00-00-00-05-08
METER_D1_000512,00-00-00-00-00-00-05-12
METER_D1_000513,00-00-00-00-00-00-05-13
METER_D1_000510,00-00-00-00-00-00-05-10
METER_D1_000511,00-00-00-00-00-00-05-11
METER_D1_000516,00-00-00-00-00-00-05-16
METER_D1_000517,00-00-00-00-00-00-05-17
METER_D1_000514,00-00-00-00-00-00-05-14
METER_D1_000515,00-00-00-00-00-00-05-15
METER_D1_000518,00-00-00-00-00-00-05-18
METER_D1_000519,00-00-00-00-00-00-05-19
METER_D1_000520,00-00-00-00-00-00-05-20
METER_D1_000523,00-00-00-00-00-00-05-23
METER_D1_000524,00-00-00-00-00-00-05-24
METER_D1_000521,00-00-00-00-00-00-05-21
METER_D1_000522,00-00-00-00-00-00-05-22
METER_D1_000527,00-00-00-00-00-00-05-27
METER_D1_000528,00-00-00-00-00-00-05-28
METER_D1_000525,00-00-00-00-00-00-05-25
METER_D1_000526,00-00-00-00-00-00-05-26
METER_D1_000529,00-00-00-00-00-00-05-29
METER_D1_012510,00-00-00-00-00-01-25-10
METER_D1_012501,00-00-00-00-00-01-25-01
METER_D1_012500,00-00-00-00-00-01-25-00
METER_D1_012503,00-00-00-00-00-01-25-03
METER_D1_012502,00-00-00-00-00-01-25-02
METER_D1_012505,00-00-00-00-00-01-25-05
METER_D1_012504,00-00-00-00-00-01-25-04
METER_D1_012507,00-00-00-00-00-01-25-07
METER_D1_012506,00-00-00-00-00-01-25-06
METER_D1_012509,00-00-00-00-00-01-25-09
METER_D1_012508,00-00-00-00-00-01-25-08
METER_D1_000530,00-00-00-00-00-00-05-30
METER_D1_000531,00-00-00-00-00-00-05-31
METER_D1_024500,00-00-00-00-00-02-45-00
METER_D1_000534,00-00-00-00-00-00-05-34
METER_D1_000535,00-00-00-00-00-00-05-35
METER_D1_000532,00-00-00-00-00-00-05-32
METER_D1_000533,00-00-00-00-00-00-05-33
METER_D1_000538,00-00-00-00-00-00-05-38
METER_D1_000539,00-00-00-00-00-00-05-39
METER_D1_000536,00-00-00-00-00-00-05-36
METER_D1_000537,00-00-00-00-00-00-05-37
METER_D1_012521,00-00-00-00-00-01-25-21
METER_D1_012520,00-00-00-00-00-01-25-20
METER_D1_012512,00-00-00-00-00-01-25-12
METER_D1_012511,00-00-00-00-00-01-25-11
METER_D1_012514,00-00-00-00-00-01-25-14
METER_D1_012513,00-00-00-00-00-01-25-13
METER_D1_012516,00-00-00-00-00-01-25-16
METER_D1_012515,00-00-00-00-00-01-25-15
METER_D1_012518,00-00-00-00-00-01-25-18
METER_D1_012517,00-00-00-00-00-01-25-17
METER_D1_012519,00-00-00-00-00-01-25-19
METER_D1_000541,00-00-00-00-00-00-05-41
METER_D1_000542,00-00-00-00-00-00-05-42
METER_D1_000540,00-00-00-00-00-00-05-40
METER_D1_000589,00-00-00-00-00-00-05-89
METER_D1_024556,00-00-00-00-00-02-45-56
METER_D1_024557,00-00-00-00-00-02-45-57
METER_D1_000587,00-00-00-00-00-00-05-87
METER_D1_024558,00-00-00-00-00-02-45-58
METER_D1_000588,00-00-00-00-00-00-05-88
METER_D1_024559,00-00-00-00-00-02-45-59
METER_D1_012570,00-00-00-00-00-01-25-70
METER_D1_012572,00-00-00-00-00-01-25-72
METER_D1_012571,00-00-00-00-00-01-25-71
METER_D1_012574,00-00-00-00-00-01-25-74
METER_D1_012573,00-00-00-00-00-01-25-73
METER_D1_012576,00-00-00-00-00-01-25-76
METER_D1_012575,00-00-00-00-00-01-25-75
METER_D1_012567,00-00-00-00-00-01-25-67
METER_D1_012566,00-00-00-00-00-01-25-66
METER_D1_012569,00-00-00-00-00-01-25-69
METER_D1_012568,00-00-00-00-00-01-25-68
METER_D1_000592,00-00-00-00-00-00-05-92
METER_D1_000593,00-00-00-00-00-00-05-93
METER_D1_024560,00-00-00-00-00-02-45-60
METER_D1_000590,00-00-00-00-00-00-05-90
METER_D1_024561,00-00-00-00-00-02-45-61
METER_D1_000591,00-00-00-00-00-00-05-91
METER_D1_024562,00-00-00-00-00-02-45-62
METER_D1_000596,00-00-00-00-00-00-05-96
METER_D1_024563,00-00-00-00-00-02-45-63
METER_D1_000597,00-00-00-00-00-00-05-97
METER_D1_024564,00-00-00-00-00-02-45-64
METER_D1_000594,00-00-00-00-00-00-05-94
METER_D1_024565,00-00-00-00-00-02-45-65
METER_D1_000595,00-00-00-00-00-00-05-95
METER_D1_024566,00-00-00-00-00-02-45-66
METER_D1_024545,00-00-00-00-00-02-45-45
METER_D1_024546,00-00-00-00-00-02-45-46
METER_D1_000598,00-00-00-00-00-00-05-98
METER_D1_024547,00-00-00-00-00-02-45-47
METER_D1_000599,00-00-00-00-00-00-05-99
METER_D1_024548,00-00-00-00-00-02-45-48
METER_D1_024549,00-00-00-00-00-02-45-49
METER_D1_012581,00-00-00-00-00-01-25-81
METER_D1_012580,00-00-00-00-00-01-25-80
METER_D1_012583,00-00-00-00-00-01-25-83
METER_D1_012582,00-00-00-00-00-01-25-82
METER_D1_012585,00-00-00-00-00-01-25-85
METER_D1_012584,00-00-00-00-00-01-25-84
METER_D1_012587,00-00-00-00-00-01-25-87
METER_D1_012586,00-00-00-00-00-01-25-86
METER_D1_012578,00-00-00-00-00-01-25-78
METER_D1_012577,00-00-00-00-00-01-25-77
METER_D1_012579,00-00-00-00-00-01-25-79
METER_D1_024550,00-00-00-00-00-02-45-50
METER_D1_024551,00-00-00-00-00-02-45-51
METER_D1_024552,00-00-00-00-00-02-45-52
METER_D1_024553,00-00-00-00-00-02-45-53
METER_D1_024554,00-00-00-00-00-02-45-54
METER_D1_024555,00-00-00-00-00-02-45-55
METER_D1_024578,00-00-00-00-00-02-45-78
METER_D1_024579,00-00-00-00-00-02-45-79
METER_D1_012590,00-00-00-00-00-01-25-90
METER_D1_012592,00-00-00-00-00-01-25-92
METER_D1_012591,00-00-00-00-00-01-25-91
METER_D1_012594,00-00-00-00-00-01-25-94
METER_D1_012593,00-00-00-00-00-01-25-93
METER_D1_012596,00-00-00-00-00-01-25-96
METER_D1_012595,00-00-00-00-00-01-25-95
METER_D1_012598,00-00-00-00-00-01-25-98
METER_D1_012597,00-00-00-00-00-01-25-97
METER_D1_012589,00-00-00-00-00-01-25-89
METER_D1_012588,00-00-00-00-00-01-25-88
METER_D1_024580,00-00-00-00-00-02-45-80
METER_D1_024581,00-00-00-00-00-02-45-81
METER_D1_024582,00-00-00-00-00-02-45-82
METER_D1_024583,00-00-00-00-00-02-45-83
METER_D1_024584,00-00-00-00-00-02-45-84
METER_D1_024585,00-00-00-00-00-02-45-85
METER_D1_024586,00-00-00-00-00-02-45-86
METER_D1_024587,00-00-00-00-00-02-45-87
METER_D1_024588,00-00-00-00-00-02-45-88
METER_D1_024567,00-00-00-00-00-02-45-67
METER_D1_024568,00-00-00-00-00-02-45-68
METER_D1_024569,00-00-00-00-00-02-45-69
METER_D1_012599,00-00-00-00-00-01-25-99
METER_D1_024570,00-00-00-00-00-02-45-70
METER_D1_024571,00-00-00-00-00-02-45-71
METER_D1_024572,00-00-00-00-00-02-45-72
METER_D1_024573,00-00-00-00-00-02-45-73
METER_D1_024574,00-00-00-00-00-02-45-74
METER_D1_024575,00-00-00-00-00-02-45-75
METER_D1_024576,00-00-00-00-00-02-45-76
METER_D1_024577,00-00-00-00-00-02-45-77
METER_D1_000545,00-00-00-00-00-00-05-45
METER_D1_024512,00-00-00-00-00-02-45-12
METER_D1_000546,00-00-00-00-00-00-05-46
METER_D1_024513,00-00-00-00-00-02-45-13
METER_D1_000543,00-00-00-00-00-00-05-43
METER_D1_024514,00-00-00-00-00-02-45-14
METER_D1_000544,00-00-00-00-00-00-05-44
METER_D1_024515,00-00-00-00-00-02-45-15
METER_D1_000549,00-00-00-00-00-00-05-49
METER_D1_024516,00-00-00-00-00-02-45-16
METER_D1_024517,00-00-00-00-00-02-45-17
METER_D1_000547,00-00-00-00-00-00-05-47
METER_D1_024518,00-00-00-00-00-02-45-18
METER_D1_000548,00-00-00-00-00-00-05-48
METER_D1_024519,00-00-00-00-00-02-45-19
METER_D1_012530,00-00-00-00-00-01-25-30
METER_D1_012532,00-00-00-00-00-01-25-32
METER_D1_012531,00-00-00-00-00-01-25-31
METER_D1_012523,00-00-00-00-00-01-25-23
METER_D1_012522,00-00-00-00-00-01-25-22
METER_D1_012525,00-00-00-00-00-01-25-25
METER_D1_012524,00-00-00-00-00-01-25-24
METER_D1_012527,00-00-00-00-00-01-25-27
METER_D1_012526,00-00-00-00-00-01-25-26
METER_D1_012529,00-00-00-00-00-01-25-29
METER_D1_012528,00-00-00-00-00-01-25-28
METER_D1_000552,00-00-00-00-00-00-05-52
METER_D1_000553,00-00-00-00-00-00-05-53
METER_D1_024520,00-00-00-00-00-02-45-20
METER_D1_000550,00-00-00-00-00-00-05-50
METER_D1_024521,00-00-00-00-00-02-45-21
METER_D1_000551,00-00-00-00-00-00-05-51
METER_D1_024522,00-00-00-00-00-02-45-22
METER_D1_000556,00-00-00-00-00-00-05-56
METER_D1_024501,00-00-00-00-00-02-45-01
METER_D1_000557,00-00-00-00-00-00-05-57
METER_D1_024502,00-00-00-00-00-02-45-02
METER_D1_000554,00-00-00-00-00-00-05-54
METER_D1_024503,00-00-00-00-00-02-45-03
METER_D1_000555,00-00-00-00-00-00-05-55
METER_D1_024504,00-00-00-00-00-02-45-04
METER_D1_024505,00-00-00-00-00-02-45-05
METER_D1_024506,00-00-00-00-00-02-45-06
METER_D1_000558,00-00-00-00-00-00-05-58
METER_D1_024507,00-00-00-00-00-02-45-07
METER_D1_000559,00-00-00-00-00-00-05-59
METER_D1_024508,00-00-00-00-00-02-45-08
METER_D1_024509,00-00-00-00-00-02-45-09
METER_D1_012541,00-00-00-00-00-01-25-41
METER_D1_012540,00-00-00-00-00-01-25-40
METER_D1_012543,00-00-00-00-00-01-25-43
METER_D1_012542,00-00-00-00-00-01-25-42
METER_D1_012534,00-00-00-00-00-01-25-34
METER_D1_012533,00-00-00-00-00-01-25-33
METER_D1_012536,00-00-00-00-00-01-25-36
METER_D1_012535,00-00-00-00-00-01-25-35
METER_D1_012538,00-00-00-00-00-01-25-38
METER_D1_012537,00-00-00-00-00-01-25-37
METER_D1_012539,00-00-00-00-00-01-25-39
METER_D1_000560,00-00-00-00-00-00-05-60
METER_D1_000563,00-00-00-00-00-00-05-63
METER_D1_000564,00-00-00-00-00-00-05-64
METER_D1_000561,00-00-00-00-00-00-05-61
METER_D1_024510,00-00-00-00-00-02-45-10
METER_D1_000562,00-00-00-00-00-00-05-62
METER_D1_024511,00-00-00-00-00-02-45-11
METER_D1_000567,00-00-00-00-00-00-05-67
METER_D1_024534,00-00-00-00-00-02-45-34
METER_D1_000568,00-00-00-00-00-00-05-68
METER_D1_024535,00-00-00-00-00-02-45-35
METER_D1_000565,00-00-00-00-00-00-05-65
METER_D1_024536,00-00-00-00-00-02-45-36
METER_D1_000566,00-00-00-00-00-00-05-66
METER_D1_024537,00-00-00-00-00-02-45-37
METER_D1_024538,00-00-00-00-00-02-45-38
METER_D1_024539,00-00-00-00-00-02-45-39
METER_D1_000569,00-00-00-00-00-00-05-69
METER_D1_012550,00-00-00-00-00-01-25-50
METER_D1_012552,00-00-00-00-00-01-25-52
METER_D1_012551,00-00-00-00-00-01-25-51
METER_D1_012554,00-00-00-00-00-01-25-54
METER_D1_012553,00-00-00-00-00-01-25-53
METER_D1_012545,00-00-00-00-00-01-25-45
METER_D1_012544,00-00-00-00-00-01-25-44
METER_D1_012547,00-00-00-00-00-01-25-47
METER_D1_012546,00-00-00-00-00-01-25-46
METER_D1_012549,00-00-00-00-00-01-25-49
METER_D1_012548,00-00-00-00-00-01-25-48
METER_D1_000570,00-00-00-00-00-00-05-70
METER_D1_000571,00-00-00-00-00-00-05-71
METER_D1_024540,00-00-00-00-00-02-45-40
METER_D1_000574,00-00-00-00-00-00-05-74
METER_D1_024541,00-00-00-00-00-02-45-41
METER_D1_000575,00-00-00-00-00-00-05-75
METER_D1_024542,00-00-00-00-00-02-45-42
METER_D1_000572,00-00-00-00-00-00-05-72
METER_D1_024543,00-00-00-00-00-02-45-43
METER_D1_000573,00-00-00-00-00-00-05-73
METER_D1_024544,00-00-00-00-00-02-45-44
METER_D1_000578,00-00-00-00-00-00-05-78
METER_D1_024523,00-00-00-00-00-02-45-23
METER_D1_000579,00-00-00-00-00-00-05-79
METER_D1_024524,00-00-00-00-00-02-45-24
METER_D1_000576,00-00-00-00-00-00-05-76
METER_D1_024525,00-00-00-00-00-02-45-25
METER_D1_000577,00-00-00-00-00-00-05-77
METER_D1_024526,00-00-00-00-00-02-45-26
METER_D1_024527,00-00-00-00-00-02-45-27
METER_D1_024528,00-00-00-00-00-02-45-28
METER_D1_024529,00-00-00-00-00-02-45-29
METER_D1_012561,00-00-00-00-00-01-25-61
METER_D1_012560,00-00-00-00-00-01-25-60
METER_D1_012563,00-00-00-00-00-01-25-63
METER_D1_012562,00-00-00-00-00-01-25-62
METER_D1_012565,00-00-00-00-00-01-25-65
METER_D1_012564,00-00-00-00-00-01-25-64
METER_D1_012556,00-00-00-00-00-01-25-56
METER_D1_012555,00-00-00-00-00-01-25-55
METER_D1_012558,00-00-00-00-00-01-25-58
METER_D1_012557,00-00-00-00-00-01-25-57
METER_D1_012559,00-00-00-00-00-01-25-59
METER_D1_000581,00-00-00-00-00-00-05-81
METER_D1_000582,00-00-00-00-00-00-05-82
METER_D1_000580,00-00-00-00-00-00-05-80
METER_D1_000585,00-00-00-00-00-00-05-85
METER_D1_024530,00-00-00-00-00-02-45-30
METER_D1_000586,00-00-00-00-00-00-05-86
METER_D1_024531,00-00-00-00-00-02-45-31
METER_D1_000583,00-00-00-00-00-00-05-83
METER_D1_024532,00-00-00-00-00-02-45-32
METER_D1_000584,00-00-00-00-00-00-05-84
METER_D1_024533,00-00-00-00-00-02-45-33
METER_D1_024589,00-00-00-00-00-02-45-89
